Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,CT,Connecticut,New Haven,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,12,,,10.2,14.2,863700,09009,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.6,,,18.7,24.9,268805,09011,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-72.1086339 41.4726517),1045
2020,CT,Connecticut,Tolland,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,72.6,,,69.4,75.5,150293,09013,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,New London,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,87.4,,,84.9,89.7,268805,09011,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3,,,2.6,3.4,268805,09011,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.7,,,9.3,12.2,863700,09009,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.6,6.7,896854,09003,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.3,,,10.0,12.8,116418,09015,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Fairfield,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.5,,,11.9,15.4,959768,09001,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.7,,,22.8,28.6,164759,09007,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Windham,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.1,,,6.2,8.1,116418,09015,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Hartford,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,47.7,,,41.6,53.4,896854,09003,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,24.7,,,22.2,27.5,863700,09009,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-72.9002033 41.3497185),1044
2020,CT,Connecticut,Middlesex,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,30.2,,,28.7,31.8,164759,09007,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,New Haven,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,9.4,,,8.1,10.8,863700,09009,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.3,,,5.0,7.9,185000,09005,HLTHOUT,COPD,CrdPrv,COPD,POINT (-73.2354042 41.7918833),1042
